BOROUGH,POLICE_PRECINCT,CREATED_DATE
BROOKLYN,Precinct 90,12/3/14
BRONX,Precinct 45,12/15/14
BRONX,Precinct 45,12/15/14
BRONX,Precinct 45,12/4/14
BROOKLYN,Precinct 75,12/3/14
QUEENS,Precinct 103,12/15/14
BROOKLYN,Precinct 75,12/10/14
BROOKLYN,Precinct 90,12/14/14
QUEENS,Precinct 103,12/6/14
BROOKLYN,Precinct 61,12/29/14
BROOKLYN,Precinct 63,12/3/14
QUEENS,Precinct 114,12/16/14
BROOKLYN,Precinct 78,12/30/14
MANHATTAN,Precinct 7,12/19/14
BROOKLYN,Precinct 94,12/2/14
BROOKLYN,Precinct 68,12/31/14
MANHATTAN,Precinct 7,12/22/14
BRONX,Precinct 45,12/15/14
BRONX,Precinct 45,12/3/14
BROOKLYN,Precinct 67,12/9/14
BRONX,Precinct 47,12/10/14
BRONX,Precinct 49,12/10/14
QUEENS,Precinct 115,12/27/14
QUEENS,Precinct 103,12/15/14
QUEENS,Precinct 109,12/15/14
BROOKLYN,Precinct 75,12/10/14
STATEN ISLAND,Precinct 121,12/4/14
BROOKLYN,Precinct 66,12/1/14
BROOKLYN,Precinct 76,12/31/14
BRONX,Precinct 40,12/5/14
BROOKLYN,Precinct 66,12/10/14
BRONX,Precinct 52,12/4/14
MANHATTAN,Precinct 33,12/19/14
BROOKLYN,Precinct 66,12/10/14
BROOKLYN,Precinct 83,12/3/14
BRONX,Precinct 52,12/10/14
BROOKLYN,Precinct 68,12/27/14
BROOKLYN,Precinct 75,12/16/14
BROOKLYN,Precinct 75,12/2/14
MANHATTAN,Precinct 7,12/16/14
MANHATTAN,Precinct 7,12/19/14
BROOKLYN,Precinct 73,12/26/14
BROOKLYN,Precinct 61,12/31/14
QUEENS,Precinct 104,12/11/14
BRONX,Precinct 50,12/11/14
BROOKLYN,Precinct 90,12/3/14
STATEN ISLAND,Precinct 121,12/4/14
QUEENS,Precinct 113,12/4/14
BRONX,Precinct 47,12/2/14
BRONX,Precinct 47,12/10/14
BRONX,Precinct 47,12/10/14
BRONX,Precinct 49,12/5/14
BROOKLYN,Precinct 72,12/11/14
BRONX,Precinct 47,12/4/14
QUEENS,Precinct 105,12/15/14
QUEENS,Precinct 105,12/15/14
BROOKLYN,Precinct 73,12/17/14
BRONX,Precinct 45,12/20/14
BROOKLYN,Precinct 83,12/17/14
BROOKLYN,Precinct 88,12/10/14
BRONX,Precinct 40,12/16/14
BRONX,Precinct 48,12/4/14
BROOKLYN,Precinct 75,12/16/14
QUEENS,Precinct 102,12/29/14
BROOKLYN,Precinct 88,12/11/14
QUEENS,Precinct 110,12/16/14
BROOKLYN,Precinct 60,12/31/14
BROOKLYN,Precinct 94,12/3/14
BROOKLYN,Precinct 83,12/28/14
BROOKLYN,Precinct 72,12/11/14
QUEENS,Precinct 114,12/18/14
BROOKLYN,Precinct 66,12/10/14
BRONX,Precinct 45,12/15/14
BRONX,Precinct 49,12/11/14
BRONX,Precinct 45,12/15/14
BROOKLYN,Precinct 83,12/4/14
MANHATTAN,Precinct 28,12/2/14
BRONX,Precinct 47,12/10/14
MANHATTAN,Precinct 7,12/5/14
MANHATTAN,Precinct 7,12/19/14
BROOKLYN,Precinct 73,12/24/14
BRONX,Unspecified,12/20/14
BRONX,Unspecified,12/17/14
BRONX,Unspecified,12/18/14
BROOKLYN,Precinct 94,12/3/14
BRONX,Precinct 45,12/20/14
QUEENS,Precinct 105,12/15/14
BROOKLYN,Precinct 72,12/30/14
BRONX,Precinct 52,12/10/14
BROOKLYN,Precinct 78,12/30/14
QUEENS,Precinct 114,12/30/14
BROOKLYN,Precinct 75,12/5/14
BROOKLYN,Precinct 61,12/31/14
QUEENS,Precinct 114,12/15/14
BRONX,Precinct 41,12/16/14
BROOKLYN,Precinct 75,12/10/14
BROOKLYN,Precinct 66,12/11/14
QUEENS,Precinct 106,12/28/14
BRONX,Precinct 45,12/15/14
BROOKLYN,Precinct 70,12/3/14
BROOKLYN,Unspecified,12/1/14
BRONX,Precinct 40,12/4/14
MANHATTAN,Unspecified,12/15/14
BRONX,Precinct 45,12/15/14
BRONX,Precinct 45,12/20/14
BROOKLYN,Precinct 94,12/3/14
BRONX,Precinct 43,12/4/14
BRONX,Precinct 42,12/4/14
BRONX,Precinct 48,12/10/14
BROOKLYN,Precinct 71,12/11/14
BROOKLYN,Precinct 68,12/24/14
BRONX,Precinct 44,12/16/14
BROOKLYN,Precinct 67,12/1/14
BROOKLYN,Precinct 66,12/30/14
BROOKLYN,Precinct 68,12/7/14
BROOKLYN,Precinct 62,12/19/14
MANHATTAN,Precinct 5,12/16/14
MANHATTAN,Precinct 33,12/19/14
BROOKLYN,Precinct 61,12/31/14
BROOKLYN,Precinct 62,12/13/14
MANHATTAN,Precinct 5,12/4/14
BROOKLYN,Precinct 66,12/22/14
MANHATTAN,Precinct 20,12/14/14
BRONX,Precinct 45,12/17/14
BROOKLYN,Precinct 76,12/29/14
BRONX,Precinct 47,12/10/14
QUEENS,Precinct 104,12/31/14
QUEENS,Precinct 103,12/15/14
BROOKLYN,Unspecified,12/10/14
BRONX,Precinct 45,12/15/14
BRONX,Precinct 40,12/15/14
BROOKLYN,Precinct 75,12/4/14
BROOKLYN,Precinct 90,12/3/14
QUEENS,Precinct 105,12/15/14
MANHATTAN,Precinct 33,12/19/14
QUEENS,Precinct 115,12/3/14
BROOKLYN,Precinct 78,12/30/14
BROOKLYN,Precinct 94,12/3/14
BRONX,Precinct 42,12/11/14
MANHATTAN,Precinct 5,12/1/14
BROOKLYN,Precinct 72,12/15/14
BROOKLYN,Precinct 63,12/3/14
QUEENS,Precinct 114,12/16/14
BROOKLYN,Precinct 66,12/11/14
QUEENS,Precinct 103,12/15/14
BROOKLYN,Precinct 84,12/30/14
BROOKLYN,Precinct 84,12/30/14
BROOKLYN,Precinct 70,12/17/14
QUEENS,Precinct 102,12/26/14
BROOKLYN,Precinct 62,12/24/14
QUEENS,Precinct 105,12/25/14
BRONX,Precinct 45,12/15/14
BRONX,Precinct 47,12/10/14
BROOKLYN,Precinct 94,12/19/14
QUEENS,Precinct 108,12/10/14
BROOKLYN,Precinct 94,12/3/14
BRONX,Unspecified,12/4/14
BRONX,Precinct 45,12/15/14
QUEENS,Precinct 103,12/15/14
MANHATTAN,Precinct 5,12/18/14
BRONX,Precinct 48,12/10/14
BROOKLYN,Precinct 90,12/4/14
BRONX,Precinct 43,12/4/14
STATEN ISLAND,Precinct 120,12/9/14
BROOKLYN,Precinct 72,12/8/14
BRONX,Precinct 40,12/11/14
QUEENS,Precinct 110,12/4/14
BRONX,Precinct 45,12/20/14
QUEENS,Precinct 110,12/16/14
BRONX,Precinct 45,12/17/14
MANHATTAN,Precinct 9,12/30/14
MANHATTAN,Precinct 5,12/7/14
QUEENS,Precinct 103,12/2/14
QUEENS,Precinct 114,12/15/14
BRONX,Precinct 50,12/31/14
BRONX,Precinct 45,12/20/14
BRONX,Precinct 45,12/20/14
BRONX,Precinct 45,12/15/14
BRONX,Precinct 45,12/2/14
BRONX,Precinct 47,12/9/14
BROOKLYN,Precinct 70,12/17/14
BRONX,Precinct 47,12/10/14
MANHATTAN,Precinct 32,12/17/14
BRONX,Unspecified,12/4/14
BRONX,Precinct 50,12/21/14
MANHATTAN,Precinct 33,12/19/14
BROOKLYN,Precinct 84,12/2/14
BROOKLYN,Precinct 75,12/16/14
MANHATTAN,Precinct 7,12/12/14
BROOKLYN,Precinct 76,12/29/14
BROOKLYN,Precinct 61,12/31/14
BROOKLYN,Precinct 90,12/17/14
BROOKLYN,Precinct 90,12/3/14
QUEENS,Precinct 114,12/10/14
BROOKLYN,Precinct 84,12/8/14
BRONX,Precinct 40,12/5/14
BROOKLYN,Precinct 62,12/10/14
QUEENS,Precinct 114,12/15/14
QUEENS,Precinct 103,12/15/14
BROOKLYN,Precinct 78,12/11/14
BROOKLYN,Precinct 66,12/11/14
BROOKLYN,Precinct 60,12/31/14
BRONX,Precinct 40,12/2/14
MANHATTAN,Precinct 19,12/20/14
MANHATTAN,Precinct 7,12/1/14
BROOKLYN,Precinct 94,12/5/14
BROOKLYN,Precinct 70,12/2/14
BROOKLYN,Precinct 94,12/3/14
QUEENS,Precinct 104,12/26/14
